Channel,Wavelength,Value
0,gamma,0.04279548304225881
0,beta,0.008777611901583137
0,alpha,0.001856794397381749
0,theta,0.05191764301712356
2,gamma,0.2672857341432016
2,beta,0.03897105403916844
2,alpha,0.006815907791423577
2,theta,0.10730640927271162
8,gamma,1.7318759295668236
8,beta,0.40984544344190094
8,alpha,0.0634544182021254
8,theta,0.3469507796110502
14,gamma,3.0222446191468935
14,beta,1.0739830877499739
14,alpha,0.13217060810243483
14,theta,0.6048246146043021
